Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Eagle Spike (run) (wind),-21,f+K during run (wind),False,True,False,normal,950,950,600,600,15,24,0.04,0.036,0.402,0.852,150,200
LK Airborne Eagle Spike (V-Skill 1),-24,MP+MK (VS1) > LK,False,True,False,vskill,950,950,600,600,15,24,0.04,0.036,0.402,0.852,120,200
MK Airborne Eagle Spike (V-Skill 1),-24,MP+MK (VS1) > MK,False,True,False,vskill,950,950,600,600,15,24,0.04,0.036,0.402,0.852,120,200
HK Airborne Eagle Spike (V-Skill 1),-24,MP+MK (VS1) > HK,False,True,False,vskill,950,950,600,600,15,24,0.04,0.036,0.402,0.852,120,200
EX Airborne Eagle Spike (V-Skill 1),-27,MP+MK (VS1) > KK,False,True,False,vskill,950,950,600,600,15,24,0.04,0.036,0.402,0.852,140,200
Nail Assault,-6,d+MP+MK (VS1) > K,False,True,False,vskill,950,950,600,600,15,24,0.04,0.036,0.402,0.852,80,100
Wing Spike,-22,MP+MK (VS2) > K,False,True,False,vskill,950,950,600,600,15,24,0.04,0.036,0.402,0.852,100,150
EX Wing Spike,-20,MP+MK (VS2) > KK,False,True,False,vskill,950,950,600,600,15,24,0.04,0.036,0.402,0.852,110,150
LK Wing Spike (Airborne),-40,MP+MK (VS2) (air) > LK,True,True,False,vskill,950,950,600,600,15,24,0.04,0.036,0.402,0.852,120,200
MK Wing Spike (Airborne),-40,MP+MK (VS2) (air) > MK,True,True,False,vskill,950,950,600,600,15,24,0.04,0.036,0.402,0.852,120,200
HK Wing Spike (Airborne),-40,MP+MK (VS2) (air) > HK,True,True,False,vskill,950,950,600,600,15,24,0.04,0.036,0.402,0.852,120,200
EX Wing Spike (Airborne),-40,MP+MK (VS2) (air) > KK,True,True,False,vskill,950,950,600,600,15,24,0.04,0.036,0.402,0.852,140,200
Ysaar,34,HP+HK (VT1),False,False,False,vtrigger,950,950,600,600,15,24,0.04,0.036,0.402,0.852,120,150
Eagle Slash,-2,MK+HP,False,True,False,vbreak,950,950,600,600,15,24,0.04,0.036,0.402,0.852,60,0
LP Spinning Mixer,-2,qcf+LP,False,False,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,44,51
LP Spinning Mixer (lvl 2),-5,qcf+LP (lvl 2),False,True,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,62,81
LP Spinning Mixer (lvl 3),-10,qcf+LP (lvl 3),False,True,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,80,125
MP Spinning Mixer,-31,qcf+MP,False,False,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,55,81
MP Spinning Mixer (lvl 2),-43,qcf+MP (lvl 2),False,True,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,79,113
MP Spinning Mixer (lvl 3),-56,qcf+MP (lvl 3),False,True,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,100,150
HP Spinning Mixer,-36,qcf+HP,False,False,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,64,79
HP Spinning Mixer (lvl 2),-48,qcf+HP (lvl 2),False,True,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,100,137
HP Spinning Mixer (lvl 3),-62,qcf+HP (lvl 3),False,True,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,140,200
Spinning Mixer (wind),0,qcf+LP (wind),False,True,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,147,220
EX Spinning Mixer,-49,qcf+PP,False,False,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,80,104
EX Spinning Mixer (lvl 2),-49,qcf+PP (lvl 2),False,True,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,127,169
EX Spinning Mixer (lvl 3),-49,qcf+PP (lvl 3),False,True,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,150,200
LK Eagle Spike,-20,qcb+LK,True,False,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,100,150
MK Eagle Spike,-20,qcb+MK,True,False,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,120,150
HK Eagle Spike,-20,qcb+HK,True,False,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,130,200
Eagle Spike (wind),-20,qcb+K (wind),True,False,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,150,200
EX Eagle Spike,-23,qcb+KK,True,False,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,100,150
EX Eagle Spike (wind),-3,qcb+KK (wind),True,False,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,160,200
LK Airborne Eagle Spike,-35,qcb+LK(air),True,False,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,120,200
MK Airborne Eagle Spike,-35,qcb+MK(air),True,False,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,120,200
HK Airborne Eagle Spike,-35,qcb+HK(air),True,False,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,120,200
EX Airborne Eagle Spike,-35,qcb+KK(air),True,False,False,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,140,200
LK Whirlwind Shot,-5,qcf+LK,False,False,True,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,60,100
MK Whirlwind Shot,-2,qcf+MK,False,False,True,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,60,140
HK Whirlwind Shot,1,qcf+HK,False,False,True,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,60,140
EX Whirlwind Shot,9,qcf+KK,False,False,True,special,950,950,600,600,15,24,0.04,0.036,0.402,0.852,90,180
Altair,-51,"qcf,qcf+P",False,False,False,super,950,950,600,600,15,24,0.04,0.036,0.402,0.852,340,0
