Move,onBlock,plnCmd,airmove,followUp,projectile,moveType,health,stun,vgauge1,vgauge2,fDash,bDash,fWalk,bWalk,throwHurt,throwRange,Damage,Stun
Buster Claw (claw),-14,f+HP (claw),False,False,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,80,150
Reverse Claw (claw),-10,HP > HP (claw),False,True,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,80*54 (134),150*72 (222)
Matador Flash (claw),-10,HP > HP > MP+MK (VS1) (claw),False,True,False,vskill,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,80*54*48 (182),150*72*64 (284)
Matador Blitz (no claw),-3,MP > HK (no claw),False,True,False,normal,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,60*54 (114),100*72 (172)
Matador Blitz 2nd (no claw),-13(-16),MP > HK > MP+MK (no claw),False,True,False,vskill,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,60*72 (132),100*72 (172)
Matador Turn (attack),-13,MP+MK (VS1) (hold),False,False,False,vskill,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,90,100
Cosmic Smart,-6,MP+MK (VS2) > K,False,True,False,vskill,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,70,100
Bloody Kiss - Torero,-2,HP+HK (VT1),False,False,True,vtrigger,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,30*50*60 (140),150
Bloody Kiss - Rojo,-22,d+HP+HK (VT1),False,False,True,vtrigger,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,30*70*80 (180),200
Bloody Kiss - Azul,2,HP+HK during forward jump (VT1),True,False,True,vtrigger,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,30*50*60 (140),150
Beautiful Severance,-2,MK+HP,False,True,False,vbreak,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,60,0
Flying Barcelona Attack (no claw),1(3),"f,d,df+K, then P (no claw)",True,True,False,special,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,80,100
Flying Barcelona Attack (claw),3(6),"f,d,df+K, then P (claw)",True,True,False,special,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,120,150
EX Flying Barcelona Attack (no claw),1(6),"f,d,df+2K, then P (no claw)",True,True,False,special,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,30*30*60 (120),50*50*100 (200)
EX Flying Barcelona Attack (claw),1(6),"f,d,df+2K, then P (claw)",True,True,False,special,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,30*30*60 (120),50*50*100 (200)
Izuna Drop,KD,"f,d,df+K, then LP+LK",False,False,False,special,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,150,200
LK Crimson Terror,-6,qcf+LK,False,False,False,special,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,20*60 (80),20*130 (150)
MK Crimson Terror,-7,qcf+MK,False,False,False,special,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,20*20*60 (100),20*20*110 (150)
HK Crimson Terror,-8,qcf+HK,False,False,False,special,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,20x3*60 (120),20x3*140 (200)
EX Crimson Terror,-2,qcf+KK,False,False,False,special,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,20x4 (120),20*0*0*100 (120)
LP Aurora Spin Edge,-7,qcb+LP,False,False,False,special,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,100,200
MP Aurora Spin Edge,-6,qcb+MP,False,False,False,special,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,100,200
HP Aurora Spin Edge,-4,qcb+HP,False,False,False,special,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,100,200
EX Aurora Spin Edge,-3,qcb+PP,False,False,True,special,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,50*100 (150),100*100 (200)
Sky High Claw,-17(-21),"d,u+P",False,False,False,movement-special,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,100 (80),120 (100)
EX Sky High Claw,-11(-15),"d,u+PP",False,False,False,movement-special,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,120 (100),150 (100)
Bloody Rain,-25,"qcf,qcf+P or qcb,qcb+P",False,False,False,super,1025,975,600,600,17,21,0.055,0.045,0.4087,0.8557,330,0
